CodigoPais;Zona;SucursalAlquiler;Mes;Fecha;Res_CY;Res_LY;Dias_CY;Dias_LY;Rental_rate_rev_CY;Rental_rate_rev_LY;Ancillaries_CY;Ancillaries_LY;SDR_CY;SDR_LY;Origin_App;Brand
ES;Andalusia;AGP;1/1/20;5/1/20;1;;8;;92,6033;;112,3967;;16,4;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;6/1/20;192;168;2422;2211;6305,2651;6133,9028;11887,1662;12324,0284;2074,8959;3284,3798;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;7/1/20;191;177;2492;2016;7481,1907;4624,1895;14487,4893;13123,2838;3065,7532;3857,7667;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;7/1/20;25;46;251;399;648,3845;754,0253;1472,3981;2844,8453;218,3482;461,1011;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;7/1/20;1;;8;;71,066;;132,2314;;92,1315;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;7/1/20;1;15;1;72;15,2893;161,8653;53,6777;866,8762;5,5174;130,8923;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;9/1/20;169;162;1676;1474;4409,8216;4583,8401;11612,1221;12311,3258;1667,7997;2715,5221;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;9/1/20;3;19;27;123;160,4211;240,5007;194,1323;1118,1182;1,6503;214,4882;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;10/1/20;34;63;219;399;611,5775;919,9602;2371,2005;2873,4107;330,9148;449,8408;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;10/1/20;1;;2;;25,843;;45,4546;;5,7039;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;10/1/20;6;25;19;228;69,8283;726,8137;313,4712;1465,9849;28,317;286,6252;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;12/1/20;158;161;1854;1649;5151,8998;3875,2173;12839,6648;12355,1484;2038,9495;3181,7721;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;12/1/20;27;64;274;563;891,8162;1182,5673;2781,3005;2881,3135;550,434;405,0222;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;12/1/20;1;;1;;4,9008;;26,4463;;2,5078;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;12/1/20;7;21;40;115;181,9986;72,3235;489,8059;753,9958;139,0122;66,4722;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;13/1/20;32;55;292;393;595,4707;752,4949;1868,539;3598,3893;445,1211;535,0256;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;13/1/20;2;;15;;75,774;;151,7355;;14,3524;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;14/1/20;101;146;1019;1398;3082,9258;3149,3161;8265,4585;9642,2874;1236,3127;2658,2975;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;15/1/20;147;182;1403;1712;3723,381;4119,2161;10888,7015;12815,1152;1802,1263;3043,1249;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;15/1/20;26;54;194;301;339,1395;332,9154;1655,9454;3219,6528;397,8111;606,2267;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;15/1/20;2;;8;;37,967;;94,2149;;10,5745;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;15/1/20;4;25;18;136;55,766;130,6698;252,3554;1283,9261;27,1665;110,5666;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;17/1/20;200;206;1566;1681;4620,6845;3706,3416;13324,4622;13699,1931;2023,1076;3717,3533;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;17/1/20;3;32;16;144;77,9604;208,9602;211,4877;1450,0353;62,5693;308,8964;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;18/1/20;32;85;273;542;600,577;826,4046;1211,708;4180,9781;160,0055;802,9909;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;18/1/20;6;34;31;228;92,1067;516,5294;493,3831;2165,6737;107,0373;449,7443;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;20/1/20;180;183;1626;1640;5656,3971;3114,886;13438,9451;13976,2172;2480,3569;3505,4046;Sigger;Goldcar/Pulsar
